repo_url,registry_source,category,language,stars,last_commit_date
https://github.com/Fibery-inc/fibery-mcp-server,mcp-first-glance,official,Python,6,
https://github.com/FilippTrigub/linkedin-mcp,mcp-first-glance,mined,Python,1,
https://github.com/Finndersen/pydanticai_mcp_demo,mcp-first-glance,mined,JavaScript,6,
https://github.com/Fisseha-Estifanos/mcp_explore,mcp-first-glance,mined,Python,0,
https://github.com/FlowiseAI/Flowise,mcp-first-glance,mined,TypeScript,36400,
https://github.com/Flux159/mcp-chat,mcp-first-glance,mined,TypeScript,6,
https://github.com/Flux159/mcp-server-kubernetes,mcp-first-glance,community,TypeScript,160,
https://github.com/Flux159/mcp-server-modal,mcp-first-glance,mined,Python,4,
https://github.com/FradSer/mcp-server-apple-reminders,mcp-first-glance,mined,TypeScript,13,
https://github.com/Funmula-Corp/BigGo-MCP-Server,mcp-first-glance,mined,Python,7,
https://github.com/GBA-BI/bioos-mcp-server,mcp-first-glance,mined,Python,3,
https://github.com/GLips/Figma-Context-MCP,mcp-first-glance,community,TypeScript,5132,
https://github.com/GMKR/mcp-imagegen,mcp-first-glance,mined,TypeScript,2,
https://github.com/Garoth/dalle-mcp,mcp-first-glance,mined,TypeScript,2,
https://github.com/Garoth/echo-mcp,mcp-first-glance,mined,JavaScript,4,
https://github.com/Garoth/sendgrid-mcp,mcp-first-glance,mined,TypeScript,6,
https://github.com/Garoth/wolframalpha-llm-mcp,mcp-first-glance,mined,TypeScript,23,
https://github.com/GasStationManager/LeanTool,mcp-first-glance,mined,Python,17,
https://github.com/GauntletRunner2025/ugs-cli-mcp,mcp-first-glance,mined,JavaScript,0,
https://github.com/GauntletRunner2025/ugs-cli-mcp-package,mcp-first-glance,mined,TypeScript,0,
https://github.com/GeLi2001/datadog-mcp-server,mcp-first-glance,community,TypeScript,10,
https://github.com/GeLi2001/shopify-mcp,mcp-first-glance,community,TypeScript,21,
https://github.com/GeLi2001/tft-mcp-server,mcp-first-glance,community,TypeScript,5,
https://github.com/Geeksfino/kb-mcp-server,mcp-first-glance,mined,Python,14,
https://github.com/George5562/Jira-MCP-Server,mcp-first-glance,mined,JavaScript,25,
https://github.com/Gitmaxd/dubco-mcp-server,mcp-first-glance,mined,JavaScript,0,
https://github.com/Gitmaxd/dubco-mcp-server-npm,mcp-first-glance,mined,JavaScript,4,
https://github.com/GoPlausible/algorand-mcp,mcp-first-glance,community,TypeScript,27,
https://github.com/GongRzhe/Calendar-Autoauth-MCP-Server,mcp-first-glance,mined,JavaScript,4,
https://github.com/GongRzhe/Gmail-MCP-Server,mcp-first-glance,community,JavaScript,77,
https://github.com/GongRzhe/Image-Generation-MCP-Server,mcp-first-glance,community,JavaScript,17,
https://github.com/GongRzhe/JSON-MCP-Server,mcp-first-glance,community,JavaScript,31,
https://github.com/GongRzhe/Langflow-DOC-QA-SERVER,mcp-first-glance,community,JavaScript,5,
https://github.com/GongRzhe/Quickchart-MCP-Server,mcp-first-glance,community,JavaScript,1,
https://github.com/GongRzhe/REDIS-MCP-Server,mcp-first-glance,community,JavaScript,15,
https://github.com/GongRzhe/TRAVEL-PLANNER-MCP-Server,mcp-first-glance,community,JavaScript,30,
https://github.com/GongRzhe/YOLO-MCP-Server,mcp-first-glance,mined,Python,0,
https://github.com/GongRzhe/terminal-controller-mcp,mcp-first-glance,community,Python,22,
https://github.com/GreptimeTeam/greptimedb-mcp-server,mcp-first-glance,official,Python,7,
https://github.com/HAERGI-PL/mcp-hello_world,mcp-first-glance,mined,JavaScript,1,
https://github.com/HarjjotSinghh/mcp-server-postgres-multi-schema,mcp-first-glance,mined,JavaScript,2,
https://github.com/Hatz-AI/hatz-ai-typescript,mcp-first-glance,mined,TypeScript,1,
https://github.com/Hawstein/mcp-server-reddit,mcp-first-glance,mined,Python,18,
https://github.com/Hawstein/resend-mcp,mcp-first-glance,mined,JavaScript,0,
https://github.com/HeatherFlux/github-issue-mcp-server,mcp-first-glance,mined,JavaScript,0,
https://github.com/HemJVK/milvus,mcp-first-glance,mined,Python,0,
https://github.com/Here-and-Tomorrow-LLC/audio-player-mcp,mcp-first-glance,mined,Python,1,
https://github.com/Himank-J/WeatherService-MCP,mcp-first-glance,mined,Python,1,
https://github.com/HybridTalentComputing/cline-chinese,mcp-first-glance,mined,TypeScript,109,
https://github.com/HyprLabAI/1,mcp-first-glance,mined,TypeScript,0,
https://github.com/HyprLabAI/HyprLabChat,mcp-first-glance,mined,TypeScript,0,
https://github.com/IBM/wxflows,mcp-first-glance,official,,75,
https://github.com/Idk507/mcp_tut,mcp-first-glance,mined,Python,0,
https://github.com/IlyaGusev/yarxiv_mcp,mcp-first-glance,mined,Python,4,
https://github.com/InditexTech/mcp-server-simulator-ios-idb,mcp-first-glance,community,TypeScript,46,
https://github.com/InditexTech/mcp-teams-server,mcp-first-glance,community,Python,48,
https://github.com/Infatoshi/mcp,mcp-first-glance,mined,Python,1,
https://github.com/Iros95/salesforce-mcp-server,mcp-first-glance,mined,TypeScript,0,
